comment,noun,noun_count,sum_noun,verb,verb_count,sum_verb,adj,adj_count,sum_adj,adv,adv_count,sum_adv
"[['(จุด - NOUN)', '(ชม - VERB)', '(วิ - NOUN)', '(วดี - NOUN)', '(<s/> - PUNCT)'], ['(แต่ - CCONJ)', '(ควร - AUX)', '(เดิน - VERB)', '(ลง - VERB)', '(ไป - VERB)', '(ที่ - SCONJ)', '(ชายฝั่ง - NOUN)', '(ใกล้ - VERB)', '(ๆ - PUNCT)', '(<s/> - PUNCT)'], ['(ใช้ - VERB)', '(เวลา - NOUN)', '(ประมาณ - ADV)', '(สี่ - NUM)', '(สิบ - NUM)', '(ห้า - NUM)', '(หก - NUM)', '(สิบ - NUM)', '(นาที - NOUN)', '(เพื่อ - SCONJ)', '(ให้ - SCONJ)', '(เส้นทาง - NOUN)', '(เล็ก - ADJ)', '(ๆ - PUNCT)', '(<s/> - PUNCT)'], ['(คุ้มค่า - NOUN)', '(<s/> - PUNCT)']]","{'(จุด - NOUN)': 1, '(วิ - NOUN)': 1, '(วดี - NOUN)': 1, '(ชายฝั่ง - NOUN)': 1, '(เวลา - NOUN)': 1, '(นาที - NOUN)': 1, '(เส้นทาง - NOUN)': 1, '(คุ้มค่า - NOUN)': 1}",8,8,"{'(ชม - VERB)': 1, '(เดิน - VERB)': 1, '(ลง - VERB)': 1, '(ไป - VERB)': 1, '(ใกล้ - VERB)': 1, '(ใช้ - VERB)': 1}",6,6,{'(เล็ก - ADJ)': 1},1,1,{'(ประมาณ - ADV)': 1},1,1
"[['(จุด - NOUN)', '(ชม - VERB)', '(วิว - NOUN)', '(ที่ - SCONJ)', '(น่าตื่นตาตื่นใจ - VERB)', '(<s/> - PUNCT)']]","{'(จุด - NOUN)': 1, '(วิว - NOUN)': 1}",2,2,"{'(ชม - VERB)': 1, '(น่าตื่นตาตื่นใจ - VERB)': 1}",2,2,{},0,0,{},0,0
"[['(คน - NOUN)', '(เยอะ - ADJ)', '(มาก - ADV)', '(มัน - PRON)', '(แออัด - VERB)', '(มาก - ADV)', '(มัน - PRON)', '(ไร้สาระ - ADV)', '(<s/> - PUNCT)'], ['(เป็นบ้า - NOUN)', '(ที่ - SCONJ)', '(พยายาม - VERB)', '(ดึง - VERB)', '(คน - NOUN)', '(ที่ผ่านมา - ADJ)', '(และ - CCONJ)', '(พระอาทิตย์ - NOUN)', '(ตก - VERB)', '(*แตกต่าง - VERB)', '(จาก - ADP)', '(ที่อื่น - NOUN)', '(<s/> - PUNCT)'], ['(*คุ้ม - VERB)', '(ที่ - SCONJ)', '(จะ - AUX)', '(ไป - VERB)', '(เมื่อ - SCONJ)', '(แออัด - VERB)', '(<s/> - PUNCT)']]","{'(คน - NOUN)': 2, '(เป็นบ้า - NOUN)': 1, '(พระอาทิตย์ - NOUN)': 1, '(ที่อื่น - NOUN)': 1}",4,5,"{'(แออัด - VERB)': 2, '(พยายาม - VERB)': 1, '(ดึง - VERB)': 1, '(ตก - VERB)': 1, '(*แตกต่าง - VERB)': 1, '(*คุ้ม - VERB)': 1, '(ไป - VERB)': 1}",7,8,"{'(เยอะ - ADJ)': 1, '(ที่ผ่านมา - ADJ)': 1}",2,2,"{'(มาก - ADV)': 2, '(ไร้สาระ - ADV)': 1}",2,3
"[['(จุด - NOUN)', '(ชม - VERB)', '(พระอาทิตย์ - NOUN)', '(ตก - VERB)', '(ที่ - SCONJ)', '(สวยงาม - ADJ)', '(ของ - ADP)', '(ภูเก็ต - PROPN)', '(ประเทศ - NOUN)', '(ไทย - PROPN)', '(<s/> - PUNCT)'], ['(ขับรถ - VERB)', '(จาก - ADP)', '(ตัวเมือง - NOUN)', '(ภูเก็ต - PROPN)', '(ประมาณ - ADV)', '(สาม - NUM)', '(สิบ - NUM)', '(นาที - NOUN)', '(<s/> - PUNCT)'], ['(มัน - PRON)', '(สมบูรณ์แบบ - VERB)', '(<s/> - PUNCT)']]","{'(จุด - NOUN)': 1, '(พระอาทิตย์ - NOUN)': 1, '(ประเทศ - NOUN)': 1, '(ตัวเมือง - NOUN)': 1, '(นาที - NOUN)': 1}",5,5,"{'(ชม - VERB)': 1, '(ตก - VERB)': 1, '(ขับรถ - VERB)': 1, '(สมบูรณ์แบบ - VERB)': 1}",4,4,{'(สวยงาม - ADJ)': 1},1,1,{'(ประมาณ - ADV)': 1},1,1
"[['(สถานที่ - NOUN)', '(ที่ - SCONJ)', '(ดี - VERB)', '(ที่สุด - ADV)', '(ใน - ADP)', '(การ - NOUN)', '(ชม - VERB)', '(พระอาทิตย์ - NOUN)', '(ตก - VERB)', '(ใน - ADP)', '(จังหวัด - NOUN)', '(ภูเก็ต - PROPN)', '(เป็น - VERB)', '(จุด - NOUN)', '(ชม - VERB)', '(วิว - NOUN)', '(ที่ - SCONJ)', '(สวยงาม - VERB)', '(<s/> - PUNCT)'], ['(คุณ - NOUN)', '(ควร - AUX)', '(ไป - VERB)', '(ถึง - ADP)', '(ครึ่งชั่วโมง - NOUN)', '(ก่อน - ADV)', '(ถึง - ADP)', '(พระอาทิตย์ - NOUN)', '(ตก - VERB)', '(เพื่อ - SCONJ)', '(ดู - VERB)', '(ความ - NOUN)', '(งาม - ADJ)', '(ที่ - SCONJ)', '(แท้จริง - VERB)', '(<s/> - PUNCT)'], ['(มี - VERB)', '(ฝูงชน - NOUN)', '(มากมาย - ADJ)', '(ดังนั้น - CCONJ)', '(หา - VERB)', '(สถานที่ - NOUN)', '(ที่ - SCONJ)', '(ดี - VERB)', '(ที่สุด - ADV)', '(ของ - ADP)', '(คุณ - NOUN)', '(เพื่อ - SCONJ)', '(ชม - VERB)', '(พระอาทิตย์ - NOUN)', '(ตก - VERB)', '(<s/> - PUNCT)'], ['(คุณ - NOUN)', '(ได้ - ADV)', '(ทุก - ADV)', '(อย่าง - NOUN)', '(เพื่อ - SCONJ)', '(กิน - VERB)', '(ใกล้ - VERB)', '(จุด - NOUN)', '(นี้ - DET)', '(<s/> - PUNCT)'], ['(อย่า - AUX)', '(พลาด - VERB)', '(น้ำมะพร้าว - NOUN)', '(<s/> - PUNCT)']]","{'(สถานที่ - NOUN)': 2, '(การ - NOUN)': 1, '(พระอาทิตย์ - NOUN)': 3, '(จังหวัด - NOUN)': 1, '(จุด - NOUN)': 2, '(วิว - NOUN)': 1, '(คุณ - NOUN)': 3, '(ครึ่งชั่วโมง - NOUN)': 1, '(ความ - NOUN)': 1, '(ฝูงชน - NOUN)': 1, '(อย่าง - NOUN)': 1, '(น้ำมะพร้าว - NOUN)': 1}",12,18,"{'(ดี - VERB)': 2, '(ชม - VERB)': 3, '(ตก - VERB)': 3, '(เป็น - VERB)': 1, '(สวยงาม - VERB)': 1, '(ไป - VERB)': 1, '(ดู - VERB)': 1, '(แท้จริง - VERB)': 1, '(มี - VERB)': 1, '(หา - VERB)': 1, '(กิน - VERB)': 1, '(ใกล้ - VERB)': 1, '(พลาด - VERB)': 1}",13,18,"{'(งาม - ADJ)': 1, '(มากมาย - ADJ)': 1}",2,2,"{'(ที่สุด - ADV)': 2, '(ก่อน - ADV)': 1, '(ได้ - ADV)': 1, '(ทุก - ADV)': 1}",4,5
"[['(นี่ - PRON)', '(ไม่ใช่ - VERB)', '(แผนที่ - NOUN)', '(ที่ - SCONJ)', '(ถูกต้อง - VERB)', '(<s/> - PUNCT)'], ['(โปรด - CCONJ)', '(ผู้ดูแล - NOUN)', '(ระบบ - NOUN)', '(เปลี่ยน - VERB)', '(แผนที่ - NOUN)', '(สถานที่ - NOUN)', '(ให้ - SCONJ)', '(ถูกต้อง - VERB)', '(เพราะ - SCONJ)', '(นักท่องเที่ยว - NOUN)', '(จำนวน - NOUN)', '(มาก - ADJ)', '(ติดตาม - ADP)', '(แผนที่ - NOUN)', '(ของ - ADP)', '(คุณ - NOUN)', '(ผิด - VERB)', '(ที่ - NOUN)', '(<s/> - PUNCT)']]","{'(แผนที่ - NOUN)': 3, '(ผู้ดูแล - NOUN)': 1, '(ระบบ - NOUN)': 1, '(สถานที่ - NOUN)': 1, '(นักท่องเที่ยว - NOUN)': 1, '(จำนวน - NOUN)': 1, '(คุณ - NOUN)': 1, '(ที่ - NOUN)': 1}",8,10,"{'(ไม่ใช่ - VERB)': 1, '(ถูกต้อง - VERB)': 2, '(เปลี่ยน - VERB)': 1, '(ผิด - VERB)': 1}",4,5,{'(มาก - ADJ)': 1},1,1,{},0,0
"[['(สถานที่ - NOUN)', '(สงบ - ADJ)', '(และ - CCONJ)', '(เงียบสงบ - ADJ)', '(<s/> - PUNCT)'], ['(เยี่ยม - NOUN)', '(ชม - VERB)', '(สถานที่ - NOUN)', '(นี้ - DET)', '(ก่อน - SCONJ)', '(พระอาทิตย์ - NOUN)', '(ตกดิน - NOUN)', '(เริ่มต้น - VERB)', '(ค้นหา - VERB)', '(สถานที่ - NOUN)', '(ที่ - SCONJ)', '(สวยงาม - VERB)', '(ระหว่าง - ADP)', '(ต้นมะพร้าว - NOUN)', '(และ - CCONJ)', '(เพลิดเพลิน - VERB)', '(กับ - ADP)', '(ทิวทัศน์ - NOUN)', '(<s/> - PUNCT)'], ['(ความกังวล - NOUN)', '(ทั้งหมด - DET)', '(ที่ - SCONJ)', '(คุณ - NOUN)', '(อาจ - AUX)', '(มี - VERB)', '(จะ - AUX)', '(หาย - VERB)', '(ไป - VERB)', '(<s/> - PUNCT)'], ['(มี - VERB)', '(จุด - NOUN)', '(เดินป่า - NOUN)', '(เล็ก - ADJ)', '(ๆ - PUNCT)', '(<s/> - PUNCT)'], ['(เช่นกัน - ADV)', '(<s/> - PUNCT)']]","{'(สถานที่ - NOUN)': 3, '(เยี่ยม - NOUN)': 1, '(พระอาทิตย์ - NOUN)': 1, '(ตกดิน - NOUN)': 1, '(ต้นมะพร้าว - NOUN)': 1, '(ทิวทัศน์ - NOUN)': 1, '(ความกังวล - NOUN)': 1, '(คุณ - NOUN)': 1, '(จุด - NOUN)': 1, '(เดินป่า - NOUN)': 1}",10,12,"{'(ชม - VERB)': 1, '(เริ่มต้น - VERB)': 1, '(ค้นหา - VERB)': 1, '(สวยงาม - VERB)': 1, '(เพลิดเพลิน - VERB)': 1, '(มี - VERB)': 2, '(หาย - VERB)': 1, '(ไป - VERB)': 1}",8,9,"{'(สงบ - ADJ)': 1, '(เงียบสงบ - ADJ)': 1, '(เล็ก - ADJ)': 1}",3,3,{'(เช่นกัน - ADV)': 1},1,1
"[['(สถานที่ - NOUN)', '(มี - VERB)', '(ชื่อเสียง - NOUN)', '(ใน - ADP)', '(การ - NOUN)', '(ชม - VERB)', '(พระอาทิตย์ - NOUN)', '(ตก - VERB)', '(ที่ - ADP)', '(ยิ่งใหญ่ - VERB)', '(<s/> - PUNCT)'], ['(นอกจากนี้ - CCONJ)', '(ยัง - AUX)', '(มี - VERB)', '(ช่วง - NOUN)', '(ระยะ - NOUN)', '(การ - NOUN)', '(เดินทาง - VERB)', '(ที่ - SCONJ)', '(ดี - VERB)', '(สิบ - NUM)', '(ห้า - NUM)', '(ยี่ - ADV)', '(สิบ - NUM)', '(นาที - NOUN)', '(<s/> - PUNCT)'], ['(นักท่องเที่ยว - NOUN)', '(ส่วนใหญ่ - ADJ)', '(มา - VERB)', '(ที่นี่ - VERB)', '(เพื่อ - SCONJ)', '(ชม - VERB)', '(ความ - NOUN)', '(งดงาม - ADJ)', '(และ - CCONJ)', '(เพลิดเพลิน - VERB)', '(กับ - ADP)', '(ช่วงเวลา - NOUN)', '(ที่ - SCONJ)', '(สงบสุข - VERB)', '(รอบ - ADP)', '(มหาสมุทร - NOUN)', '(<s/> - PUNCT)'], ['(แท้จริง - CCONJ)', '(คุณ - NOUN)', '(สามารถ - AUX)', '(ใช้ - VERB)', '(เวลา - NOUN)', '(หนึ่ง - NUM)', '(ชั่วโมง - NOUN)', '(หรือ - CCONJ)', '(มาก - ADV)', '(กว่า - ADV)', '(นัน - DET)', '(ใน - ADP)', '(สถานที่ - NOUN)', '(<s/> - PUNCT)'], ['(แหลม - ADJ)', '(พรหม - NOUN)', '(เทพ - NOUN)', '(ให้ - SCONJ)', '(ภาพ - NOUN)', '(ที่ - SCONJ)', '(สวยงาม - VERB)', '(ดังนั้น - CCONJ)', '(อย่า - AUX)', '(ลืม - VERB)', '(คลิก - NOUN)', '(รูป - NOUN)', '(สวย - ADJ)', '(ๆ - PUNCT)', '(<s/> - PUNCT)']]","{'(สถานที่ - NOUN)': 2, '(ชื่อเสียง - NOUN)': 1, '(การ - NOUN)': 2, '(พระอาทิตย์ - NOUN)': 1, '(ช่วง - NOUN)': 1, '(ระยะ - NOUN)': 1, '(นาที - NOUN)': 1, '(นักท่องเที่ยว - NOUN)': 1, '(ความ - NOUN)': 1, '(ช่วงเวลา - NOUN)': 1, '(มหาสมุทร - NOUN)': 1, '(คุณ - NOUN)': 1, '(เวลา - NOUN)': 1, '(ชั่วโมง - NOUN)': 1, '(พรหม - NOUN)': 1, '(เทพ - NOUN)': 1, '(ภาพ - NOUN)': 1, '(คลิก - NOUN)': 1, '(รูป - NOUN)': 1}",19,21,"{'(มี - VERB)': 2, '(ชม - VERB)': 2, '(ตก - VERB)': 1, '(ยิ่งใหญ่ - VERB)': 1, '(เดินทาง - VERB)': 1, '(ดี - VERB)': 1, '(มา - VERB)': 1, '(ที่นี่ - VERB)': 1, '(เพลิดเพลิน - VERB)': 1, '(สงบสุข - VERB)': 1, '(ใช้ - VERB)': 1, '(สวยงาม - VERB)': 1, '(ลืม - VERB)': 1}",13,15,"{'(ส่วนใหญ่ - ADJ)': 1, '(งดงาม - ADJ)': 1, '(แหลม - ADJ)': 1, '(สวย - ADJ)': 1}",4,4,"{'(ยี่ - ADV)': 1, '(มาก - ADV)': 1, '(กว่า - ADV)': 1}",3,3
"[['(มุมมอง - NOUN)', '(ที่ - SCONJ)', '(น่าตื่นตาตื่นใจ - VERB)', '(ใน - ADP)', '(ทะเล - NOUN)', '(และ - CCONJ)', '(หมู่เกาะ - NOUN)', '(<s/> - PUNCT)'], ['(เส้นทาง - NOUN)', '(ลื่น - VERB)', '(มาก - ADV)', '(และ - CCONJ)', '(ต้องการ - VERB)', '(ทักษะ - NOUN)', '(การ - NOUN)', '(ปีน - VERB)', '(เขา - PRON)', '(เพื่อ - SCONJ)', '(ให้ - SCONJ)', '(ได้ - VERB)', '(ภาพ - NOUN)', '(ที่ - SCONJ)', '(ดี - VERB)', '(ที่สุด - ADV)', '(<s/> - PUNCT)']]","{'(มุมมอง - NOUN)': 1, '(ทะเล - NOUN)': 1, '(หมู่เกาะ - NOUN)': 1, '(เส้นทาง - NOUN)': 1, '(ทักษะ - NOUN)': 1, '(การ - NOUN)': 1, '(ภาพ - NOUN)': 1}",7,7,"{'(น่าตื่นตาตื่นใจ - VERB)': 1, '(ลื่น - VERB)': 1, '(ต้องการ - VERB)': 1, '(ปีน - VERB)': 1, '(ได้ - VERB)': 1, '(ดี - VERB)': 1}",6,6,{},0,0,"{'(มาก - ADV)': 1, '(ที่สุด - ADV)': 1}",2,2
"[['(ต้อง - AUX)', '(ไป - VERB)', '(เยี่ยม - VERB)', '(ชม - VERB)', '(สถานที่ - NOUN)', '(แห่ง - NOUN)', '(นี้ - DET)', '(ทิวทัศน์ - NOUN)', '(ที่ - SCONJ)', '(สวยงาม - VERB)', '(มาก - ADV)', '(โดยเฉพาะ - ADV)', '(ใน - ADP)', '(ช่วงเวลา - NOUN)', '(พระอาทิตย์ - NOUN)', '(ตก - VERB)', '(<s/> - PUNCT)'], ['(สามารถ - AUX)', '(มองเห็น - VERB)', '(ทะเลอันดามัน - NOUN)', '(และ - CCONJ)', '(ยัง - AUX)', '(คุ้มค่า - VERB)', '(แก่ - ADP)', '(การ - NOUN)', '(เยี่ยม - VERB)', '(ชม - VERB)', '(สำหรับ - ADP)', '(ทุก - ADV)', '(คน - NOUN)', '(<s/> - PUNCT)'], ['(มี - VERB)', '(ร้านค้า - NOUN)', '(บาง - ADV)', '(ร้านขายเสื้อผ้า - NOUN)', '(เครื่องดื่ม - VERB)', '(และ - CCONJ)', '(อื่นๆ - VERB)', '(<s/> - PUNCT)'], ['(ค่า - NOUN)', '(เข้า - VERB)', '(ชม - VERB)', '(เป็น - VERB)', '(ฟรี - NOUN)', '(<s/> - PUNCT)'], ['(ตรวจสอบ - VERB)', '(ให้ - SCONJ)', '(แน่ใจ - VERB)', '(ว่า - SCONJ)', '(ได้ - AUX)', '(เดิน - VERB)', '(ไป - VERB)', '(รอบๆ - VERB)', '(<s/> - PUNCT)'], ['(บริเวณ - NOUN)', '(นั้น - DET)', '(ซึ่ง - SCONJ)', '(ประกอบ - VERB)', '(ด้วย - ADP)', '(เนินเขา - NOUN)', '(ขึ้น - VERB)', '(ลง - ADV)', '(และ - CCONJ)', '(ระวัง - VERB)', '(ลิง - ADV)', '(ด้วย - ADV)', '(<s/> - PUNCT)']]","{'(สถานที่ - NOUN)': 1, '(แห่ง - NOUN)': 1, '(ทิวทัศน์ - NOUN)': 1, '(ช่วงเวลา - NOUN)': 1, '(พระอาทิตย์ - NOUN)': 1, '(ทะเลอันดามัน - NOUN)': 1, '(การ - NOUN)': 1, '(คน - NOUN)': 1, '(ร้านค้า - NOUN)': 1, '(ร้านขายเสื้อผ้า - NOUN)': 1, '(ค่า - NOUN)': 1, '(ฟรี - NOUN)': 1, '(บริเวณ - NOUN)': 1, '(เนินเขา - NOUN)': 1}",14,14,"{'(ไป - VERB)': 2, '(เยี่ยม - VERB)': 2, '(ชม - VERB)': 3, '(สวยงาม - VERB)': 1, '(ตก - VERB)': 1, '(มองเห็น - VERB)': 1, '(คุ้มค่า - VERB)': 1, '(มี - VERB)': 1, '(เครื่องดื่ม - VERB)': 1, '(อื่นๆ - VERB)': 1, '(เข้า - VERB)': 1, '(เป็น - VERB)': 1, '(ตรวจสอบ - VERB)': 1, '(แน่ใจ - VERB)': 1, '(เดิน - VERB)': 1, '(รอบๆ - VERB)': 1, '(ประกอบ - VERB)': 1, '(ขึ้น - VERB)': 1, '(ระวัง - VERB)': 1}",19,23,{},0,0,"{'(มาก - ADV)': 1, '(โดยเฉพาะ - ADV)': 1, '(ทุก - ADV)': 1, '(บาง - ADV)': 1, '(ลง - ADV)': 1, '(ลิง - ADV)': 1, '(ด้วย - ADV)': 1}",7,7
