comment,noun,noun_count,sum_noun,verb,verb_count,sum_verb,adj,adj_count,sum_adj,adv,adv_count,sum_adv
"[['(เป็น - AUX)', '(สถานที่ - NOUN)', '(ที่ - DET)', '(ดี - ADJ)', '(และ - CCONJ)', '(เป็น - AUX)', '(ที่ - PRON)', '(นิยม - VERB)', '(มาก - ADV)', '(ๆ - SYM)'], ['(ถ้า - ADP)', '(คุณ - PRON)', '(มอง - VERB)', '(ด้วย - ADV)', '(ตัว - NOUN)', '(คุณ - PRON)', '(เอง - PRON)', '(คุณ - PRON)', '(สามารถ - VERB)', '(หา - VERB)', '(สถานที่ - NOUN)', '(ที่ - DET)', '(ดี - ADJ)', '(กว่า - ADV)', '(โดย - ADP)', '(*ต้อง - VERB)', '(นักท่องเที่ยว - VERB)']]","{'(สถานที่ - NOUN)': 2, '(ตัว - NOUN)': 1}",2,3,"{'(นิยม - VERB)': 1, '(มอง - VERB)': 1, '(สามารถ - VERB)': 1, '(หา - VERB)': 1, '(*ต้อง - VERB)': 1, '(นักท่องเที่ยว - VERB)': 1}",6,6,{'(ดี - ADJ)': 2},1,2,"{'(มาก - ADV)': 1, '(ด้วย - ADV)': 1, '(กว่า - ADV)': 1}",3,3
"[['(การ - NOUN)', '(ค้นพบ - VERB)', '(ที่ - DET)', '(ยอดเยี่ยม - ADJ)', '(ใน - ADP)', '(ส่วน - NOUN)', '(ของ - ADP)', '(เรา - PRON)', '(โดย - ADP)', '(*เสียค่าใช้จ่าย - VERB)', '(เรา - PRON)', '(สามารถ - VERB)', '(สำรวจ - VERB)', '(พื้นที่ - NOUN)', '(ต่างๆ - VERB)'], ['(มากมาย - ADJ)', '(และ - CCONJ)', '(เรียนรู้ - VERB)', '(เพิ่มเติม - VERB)', '(เกี่ยวกับ - ADP)', '(ศาสนา - NOUN)']]","{'(การ - NOUN)': 1, '(ส่วน - NOUN)': 1, '(พื้นที่ - NOUN)': 1, '(ศาสนา - NOUN)': 1}",4,4,"{'(ค้นพบ - VERB)': 1, '(*เสียค่าใช้จ่าย - VERB)': 1, '(สามารถ - VERB)': 1, '(สำรวจ - VERB)': 1, '(ต่างๆ - VERB)': 1, '(เรียนรู้ - VERB)': 1, '(เพิ่มเติม - VERB)': 1}",7,7,"{'(ยอดเยี่ยม - ADJ)': 1, '(มากมาย - ADJ)': 1}",2,2,{},0,0
"[['(จะ - VERB)', '(ต้อง - VERB)', '(หยุด - VERB)', '(ใน - ADP)', '(ระหว่าง - ADP)', '(การ - NOUN)', '(เดินทาง - VERB)', '(วัน - NOUN)', '(เดียว - ADJ)', '(กับ - ADP)', '(ภูเก็ต - NOUN)', '(ด้วย - ADP)', '(คนขับ - VERB)', '(ส่วนตัว - NOUN)', '(ที่ - DET)', '(คุณ - PRON)', '(ต้องหา - VERB)', '(ข้อเสนอ - NOUN)', '(ราคา - NOUN)', '(ถูก - VERB)'], ['(ผลงาน - NOUN)', '(ชิ้นเอก - NOUN)', '(ของ - ADP)', '(ศิลปะ - NOUN)', '(ไทย - PROPN)', '(ที่ - DET)', '(ยอดเยี่ยม - ADJ)', '(ที่ - DET)', '(สร้าง - VERB)', '(ขึ้น - PART)', '(เมื่อ - ADP)', '(หลาย - DET)', '(สิบ - NUM)', '(ปี - NOUN)', '(ที่ผ่านมา - DET)', '(ทิวทัศน์ - NOUN)', '(อัน - DET)', '(งดงาม - ADJ)', '(จาก - ADP)', '(จุดสูงสุด - ADV)']]","{'(การ - NOUN)': 1, '(วัน - NOUN)': 1, '(ภูเก็ต - NOUN)': 1, '(ส่วนตัว - NOUN)': 1, '(ข้อเสนอ - NOUN)': 1, '(ราคา - NOUN)': 1, '(ผลงาน - NOUN)': 1, '(ชิ้นเอก - NOUN)': 1, '(ศิลปะ - NOUN)': 1, '(ปี - NOUN)': 1, '(ทิวทัศน์ - NOUN)': 1}",11,11,"{'(จะ - VERB)': 1, '(ต้อง - VERB)': 1, '(หยุด - VERB)': 1, '(เดินทาง - VERB)': 1, '(คนขับ - VERB)': 1, '(ต้องหา - VERB)': 1, '(ถูก - VERB)': 1, '(สร้าง - VERB)': 1}",8,8,"{'(เดียว - ADJ)': 1, '(ยอดเยี่ยม - ADJ)': 1, '(งดงาม - ADJ)': 1}",3,3,{'(จุดสูงสุด - ADV)': 1},1,1
"[['(วัด - NOUN)', '(ที่ - DET)', '(สะอาด - VERB)', '(และ - CCONJ)', '(สวยงาม - VERB)', '(มาก - ADV)'], ['(ได้รับ - VERB)', '(การ - NOUN)', '(ดูแล - VERB)', '(อย่าง - ADP)', '(ดี - ADJ)'], ['(ผู้คน - NOUN)', '(ติดตาม - VERB)', '(วินัย - NOUN)', '(ที่นี่ - ADJ)'], ['(คุณ - PRON)', '(สามารถ - VERB)', '(มองเห็น - VERB)', '(พระพุทธรูป - NOUN)', '(องค์ - NOUN)', '(ใหญ่ - ADJ)', '(ได้ - PART)', '(จาก - ADP)', '(ที่นี่ - PRON)', '(บน - ADP)', '(ภูเขา - NOUN)']]","{'(วัด - NOUN)': 1, '(การ - NOUN)': 1, '(ผู้คน - NOUN)': 1, '(วินัย - NOUN)': 1, '(พระพุทธรูป - NOUN)': 1, '(องค์ - NOUN)': 1, '(ภูเขา - NOUN)': 1}",7,7,"{'(สะอาด - VERB)': 1, '(สวยงาม - VERB)': 1, '(ได้รับ - VERB)': 1, '(ดูแล - VERB)': 1, '(ติดตาม - VERB)': 1, '(สามารถ - VERB)': 1, '(มองเห็น - VERB)': 1}",7,7,"{'(ดี - ADJ)': 1, '(ที่นี่ - ADJ)': 1, '(ใหญ่ - ADJ)': 1}",3,3,{'(มาก - ADV)': 1},1,1
"[['(ราคา - NOUN)', '(โปรด - ADJ)', '(ของ - ADP)', '(ฉัน - PRON)', '(ฟรี - PROPN)', '(เหมาะ - PROPN)', '(สำหรับ - ADP)', '(การ - NOUN)', '(ออก - VERB)', '(ไป - PART)', '(เที่ยวเล่น - VERB)', '(นอกสถานที่ - NOUN)', '(สถาปนิก - NOUN)', '(ที่ - DET)', '(น่ารัก - VERB)']]","{'(ราคา - NOUN)': 1, '(การ - NOUN)': 1, '(นอกสถานที่ - NOUN)': 1, '(สถาปนิก - NOUN)': 1}",4,4,"{'(ออก - VERB)': 1, '(เที่ยวเล่น - VERB)': 1, '(น่ารัก - VERB)': 1}",3,3,{'(โปรด - ADJ)': 1},1,1,{},0,0
"[['(วัด - NOUN)', '(พุทธ - NOUN)', '(ที่ - DET)', '(สวยงาม - ADJ)', '(มาก - ADV)'], ['(สถาปัตยกรรม - NOUN)', '(ที่ - DET)', '(ดี - ADJ)'], ['(*มี - VERB)', '(ค่าธรรมเนียม - NOUN)', '(แรก - ADJ)', '(เข้า - VERB)'], ['(แต่ - CCONJ)', '(อย่า - NOUN)', '(ลืม - NOUN)', '(ถอด - VERB)', '(รองเท้า - NOUN)', '(ก่อน - ADP)', '(เข้า - PART)', '(วัด - VERB)'], ['(เป็น - AUX)', '(ที่ - PRON)', '(น่าสนใจ - VERB)', '(ที่ - ADP)', '(จะ - VERB)', '(ดู - VERB)', '(ว่า - ADP)', '(พวกเขา - NOUN)', '(ระเบิด - VERB)', '(แครก - NOUN)', '(เกอร์ - PROPN)', '(ภายใน - NOUN)', '(โดม - NOUN)', '(อิฐ - ADJ)', '(อย่างไร - ADV)'], ['(ป.ล. - NOUN)'], ['(พก - NOUN)', '(ร่ม - NOUN)', '(และ - CCONJ)', '(สวม - NOUN)', '(ถุงเท้า - NOUN)', '(ถ้า - ADP)', '(คุณ - PRON)', '(รัก - VERB)', '(ผิว - NOUN)', '(และ - CCONJ)', '(เท้า - NOUN)', '(ของ - ADP)', '(คุณ - PRON)']]","{'(วัด - NOUN)': 1, '(พุทธ - NOUN)': 1, '(สถาปัตยกรรม - NOUN)': 1, '(ค่าธรรมเนียม - NOUN)': 1, '(อย่า - NOUN)': 1, '(ลืม - NOUN)': 1, '(รองเท้า - NOUN)': 1, '(พวกเขา - NOUN)': 1, '(แครก - NOUN)': 1, '(ภายใน - NOUN)': 1, '(โดม - NOUN)': 1, '(ป.ล. - NOUN)': 1, '(พก - NOUN)': 1, '(ร่ม - NOUN)': 1, '(สวม - NOUN)': 1, '(ถุงเท้า - NOUN)': 1, '(ผิว - NOUN)': 1, '(เท้า - NOUN)': 1}",18,18,"{'(*มี - VERB)': 1, '(เข้า - VERB)': 1, '(ถอด - VERB)': 1, '(วัด - VERB)': 1, '(น่าสนใจ - VERB)': 1, '(จะ - VERB)': 1, '(ดู - VERB)': 1, '(ระเบิด - VERB)': 1, '(รัก - VERB)': 1}",9,9,"{'(สวยงาม - ADJ)': 1, '(ดี - ADJ)': 1, '(แรก - ADJ)': 1, '(อิฐ - ADJ)': 1}",4,4,"{'(มาก - ADV)': 1, '(อย่างไร - ADV)': 1}",2,2
"[['(ไป - PART)', '(เร็ว - ADV)', '(มาก - ADV)', '(หรือ - CCONJ)', '(ช้า - ADV)'], ['(เวลา - NOUN)', '(กลางวัน - NOUN)', '(ยุ่ง - VERB)', '(มาก - ADV)', '(และ - CCONJ)', '(ร้อน - ADJ)', '(มาก - ADV)']]","{'(เวลา - NOUN)': 1, '(กลางวัน - NOUN)': 1}",2,2,{'(ยุ่ง - VERB)': 1},1,1,{'(ร้อน - ADJ)': 1},1,1,"{'(เร็ว - ADV)': 1, '(มาก - ADV)': 3, '(ช้า - ADV)': 1}",3,5
"[['(วัด - NOUN)', '(ที่ - DET)', '(สวยงาม - ADJ)', '(และ - CCONJ)', '(บรรยากาศ - NOUN)', '(อัน - DET)', '(เงียบสงบ - ADJ)']]","{'(วัด - NOUN)': 1, '(บรรยากาศ - NOUN)': 1}",2,2,{},0,0,"{'(สวยงาม - ADJ)': 1, '(เงียบสงบ - ADJ)': 1}",2,2,{},0,0
"[['(เยี่ยม - NOUN)', '(ชม - NOUN)', '(ใน - ADP)', '(ตอนเช้า - NOUN)'], ['(สถานที่ - NOUN)', '(ที่ - DET)', '(สวยงาม - ADJ)', '(และ - CCONJ)', '(เงียบสงบ - VERB)', '(มาก - ADV)']]","{'(เยี่ยม - NOUN)': 1, '(ชม - NOUN)': 1, '(ตอนเช้า - NOUN)': 1, '(สถานที่ - NOUN)': 1}",4,4,{'(เงียบสงบ - VERB)': 1},1,1,{'(สวยงาม - ADJ)': 1},1,1,{'(มาก - ADV)': 1},1,1
"[['(วัด - NOUN)', '(ฉลอง - VERB)', '(มี - VERB)', '(วัด - NOUN)', '(ที่ - DET)', '(สวยงาม - ADJ)', '(หลาย - DET)', '(แห่ง - NOUN)', '(อยู่ - VERB)', '(ใน - ADP)', '(สภาพ - NOUN)', '(ดี - ADJ)', '(และ - CCONJ)', '(*มี - VERB)', '(พวกเขา - NOUN)', '(อยู่ - VERB)', '(ใน - ADP)', '(ขั้นตอน - NOUN)', '(การ - NOUN)', '(ปรับปรุง - NOUN)', '(บาง - DET)', '(ส่วน - NOUN)', '(ภายนอก - NOUN)'], ['(แต่ - CCONJ)', '(มัน - PRON)', '(ไม่ได้ - VERB)', '(ส่งผลกระทบ - VERB)', '(ต่อ - ADP)', '(ประสบการณ์ - NOUN)'], ['(มี - VERB)', '(นักท่องเที่ยว - NOUN)', '(*มาก - ADV)', '(นัก - NOUN)', '(เมื่อ - ADP)', '(เรา - PRON)', '(อยู่ - VERB)', '(ที่นั่น - ADV)', '(ใน - ADP)', '(ช่วง - NOUN)', '(เที่ยง - NOUN)', '(วันศุกร์ - PROPN)', '(ใน - ADP)', '(ช่วง - NOUN)', '(ฤดูท่องเที่ยว - NOUN)'], ['(เมื่อ - ADP)', '(เรา - PRON)', '(เข้า - VERB)', '(ไป - PART)', '(ใน - ADP)', '(วัด - NOUN)', '(ที่ - DET)', '(ใหญ่ - ADJ)', '(ที่สุด - ADV)', '(*มี - VERB)', '(ใคร - PRON)', '(แจก - VERB)', '(โสร่ง - PROPN)'], ['(แต่ - CCONJ)', '(มี - VERB)', '(บาง - DET)', '(คน - NOUN)', '(เมื่อ - ADP)', '(เรา - PRON)', '(ออก - VERB)', '(ไป - PART)'], ['(ดี - ADJ)', '(กว่า - ADV)', '(ที่ - DET)', '(จะ - VERB)', '(สวมใส่ - VERB)', '(เสื้อผ้า - NOUN)', '(ที่ - DET)', '(เรียบง่าย - VERB)', '(*มี - VERB)', '(เสื้อกล้าม - VERB)', '(และ - CCONJ)', '(หัวเข่า - NOUN)', '(ปกคลุม - VERB)', '(สำหรับ - ADP)', '(ผู้หญิง - NOUN)'], ['(สามารถ - VERB)', '(แนะนำ - VERB)', '(ให้ - VERB)', '(ดู - VERB)', '(อย่าง - ADP)', '(แน่นอน - ADJ)'], ['(โดยเฉพาะ - ADJ)', '(ด้าน - NOUN)', '(ใน - ADP)', '(ของวัด - NOUN)', '(หลัก - ADJ)', '(นั้น - DET)', '(งดงาม - ADJ)', '(และ - CCONJ)', '(น่าสนใจ - VERB)']]","{'(วัด - NOUN)': 3, '(แห่ง - NOUN)': 1, '(สภาพ - NOUN)': 1, '(พวกเขา - NOUN)': 1, '(ขั้นตอน - NOUN)': 1, '(การ - NOUN)': 1, '(ปรับปรุง - NOUN)': 1, '(ส่วน - NOUN)': 1, '(ภายนอก - NOUN)': 1, '(ประสบการณ์ - NOUN)': 1, '(นักท่องเที่ยว - NOUN)': 1, '(นัก - NOUN)': 1, '(ช่วง - NOUN)': 2, '(เที่ยง - NOUN)': 1, '(ฤดูท่องเที่ยว - NOUN)': 1, '(คน - NOUN)': 1, '(เสื้อผ้า - NOUN)': 1, '(หัวเข่า - NOUN)': 1, '(ผู้หญิง - NOUN)': 1, '(ด้าน - NOUN)': 1, '(ของวัด - NOUN)': 1}",21,24,"{'(ฉลอง - VERB)': 1, '(มี - VERB)': 3, '(อยู่ - VERB)': 3, '(*มี - VERB)': 3, '(ไม่ได้ - VERB)': 1, '(ส่งผลกระทบ - VERB)': 1, '(เข้า - VERB)': 1, '(แจก - VERB)': 1, '(ออก - VERB)': 1, '(จะ - VERB)': 1, '(สวมใส่ - VERB)': 1, '(เรียบง่าย - VERB)': 1, '(เสื้อกล้าม - VERB)': 1, '(ปกคลุม - VERB)': 1, '(สามารถ - VERB)': 1, '(แนะนำ - VERB)': 1, '(ให้ - VERB)': 1, '(ดู - VERB)': 1, '(น่าสนใจ - VERB)': 1}",19,25,"{'(สวยงาม - ADJ)': 1, '(ดี - ADJ)': 2, '(ใหญ่ - ADJ)': 1, '(แน่นอน - ADJ)': 1, '(โดยเฉพาะ - ADJ)': 1, '(หลัก - ADJ)': 1, '(งดงาม - ADJ)': 1}",7,8,"{'(*มาก - ADV)': 1, '(ที่นั่น - ADV)': 1, '(ที่สุด - ADV)': 1, '(กว่า - ADV)': 1}",4,4
