comment,noun,noun_count,sum_noun,verb,verb_count,sum_verb,adj,adj_count,sum_adj,adv,adv_count,sum_adv
"[['(ดี - ADJ)', '(แต่ - CCONJ)', '(ค่อนข้าง - ADV)', '(แออัด - NOUN)', '(หาด - NOUN)', '(อื่น - DET)', '(ๆ - PUNCT)'], ['(ใน - ADP)', '(บริเวณ - NOUN)', '(ใกล้เคียง - NOUN)', '(นั้น - DET)', '(ดี - NOUN)', '(กว่า - ADP)']]","{'(แออัด - NOUN)': 1, '(หาด - NOUN)': 1, '(บริเวณ - NOUN)': 1, '(ใกล้เคียง - NOUN)': 1, '(ดี - NOUN)': 1}",5,5,{},0,0,{'(ดี - ADJ)': 1},1,1,{'(ค่อนข้าง - ADV)': 1},1,1
"[['(ทราย - NOUN)', '(ที่ - SCONJ)', '(ดี - VERB)', '(แอ - NOUN)', '(อัด - NOUN)', '(มาก - ADV)', '(น้ำ - NOUN)', '(*ชัดเจน - NOUN)', '(จริง - ADJ)', '(ๆ - PUNCT)'], ['(ฉัน - PRON)', '(เคย - AUX)', '(มี - VERB)', '(คลื่น - NOUN)', '(แต่ - CCONJ)', '(โดย - SCONJ)', '(รวม - VERB)', '(แล้ว - CCONJ)', '(เป็น - VERB)', '(ชาย - NOUN)', '(หาด - NOUN)', '(ที่ - SCONJ)', '(สนุก - NOUN)']]","{'(ทราย - NOUN)': 1, '(แอ - NOUN)': 1, '(อัด - NOUN)': 1, '(น้ำ - NOUN)': 1, '(*ชัดเจน - NOUN)': 1, '(คลื่น - NOUN)': 1, '(ชาย - NOUN)': 1, '(หาด - NOUN)': 1, '(สนุก - NOUN)': 1}",9,9,"{'(ดี - VERB)': 1, '(มี - VERB)': 1, '(รวม - VERB)': 1, '(เป็น - VERB)': 1}",4,4,{'(จริง - ADJ)': 1},1,1,{'(มาก - ADV)': 1},1,1
"[['(แออัด - VERB)', '(แต่ - CCONJ)', '(ดี - NOUN)']]",{'(ดี - NOUN)': 1},1,1,{'(แออัด - VERB)': 1},1,1,{},0,0,{},0,0
"[['(หาด - NOUN)', '(สวย - NOUN)', '(แออัด - NOUN)', '(น้อย - NOUN)', '(ถ้า - SCONJ)', '(คุณ - NOUN)', '(เดิน - VERB)', '(ไป - VERB)', '(อีก - ADV)', '(หน่อย - NOUN)']]","{'(หาด - NOUN)': 1, '(สวย - NOUN)': 1, '(แออัด - NOUN)': 1, '(น้อย - NOUN)': 1, '(คุณ - NOUN)': 1, '(หน่อย - NOUN)': 1}",6,6,"{'(เดิน - VERB)': 1, '(ไป - VERB)': 1}",2,2,{},0,0,{'(อีก - ADV)': 1},1,1
"[['(ชายหาด - NOUN)', '(สวย - NOUN)', '(ดี - NOUN)', '(*เห็น - VERB)', '(ขยะ - NOUN)', '(ใด - DET)', '(ๆ - PUNCT)'], ['(กิจกรรม - NOUN)', '(ทาง - NOUN)', '(น้ำ - NOUN)', '(มากมาย - ADJ)', '(เก้าอี้ - NOUN)', '(อาบ - NOUN)', '(แดด - NOUN)']]","{'(ชายหาด - NOUN)': 1, '(สวย - NOUN)': 1, '(ดี - NOUN)': 1, '(ขยะ - NOUN)': 1, '(กิจกรรม - NOUN)': 1, '(ทาง - NOUN)': 1, '(น้ำ - NOUN)': 1, '(เก้าอี้ - NOUN)': 1, '(อาบ - NOUN)': 1, '(แดด - NOUN)': 1}",10,10,{'(*เห็น - VERB)': 1},1,1,{'(มากมาย - ADJ)': 1},1,1,{},0,0
"[['(สิ่ง - NOUN)', '(ที่ - SCONJ)', '(ดี - VERB)', '(', '.] - ADV)']]",{'(สิ่ง - NOUN)': 1},1,1,{'(ดี - VERB)': 1},1,1,{},0,0,{'.] - ADV)': 1},1,1
"[['(ชาย - NOUN)', '(หาด - NOUN)', '(ที่ - SCONJ)', '(ดี - NOUN)', '(ค่อนข้าง - ADV)', '(แออัด - NOUN)', '(แต่ - CCONJ)', '(*แออัด - NOUN)', '(อย่าง - NOUN)', '(ที่ - SCONJ)', '(ฉัน - PRON)', '(คาด - VERB)', '(ไว้ - ADV)', '(มี - VERB)', '(อะไร - PRON)', '(ให้ - SCONJ)', '(ทำ - VERB)', '(มากมาย - ADJ)', '(บน - ADP)', '(ถนน - NOUN)', '(หลาย - ADV)', '(สาย - NOUN)', '(ที่ - SCONJ)', '(อยู่ - VERB)', '(ใกล้ - VERB)', '(ๆ - PUNCT)'], ['(เช่น - PART)', '(กัน - PRON)']]","{'(ชาย - NOUN)': 1, '(หาด - NOUN)': 1, '(ดี - NOUN)': 1, '(แออัด - NOUN)': 1, '(*แออัด - NOUN)': 1, '(อย่าง - NOUN)': 1, '(ถนน - NOUN)': 1, '(สาย - NOUN)': 1}",8,8,"{'(คาด - VERB)': 1, '(มี - VERB)': 1, '(ทำ - VERB)': 1, '(อยู่ - VERB)': 1, '(ใกล้ - VERB)': 1}",5,5,{'(มากมาย - ADJ)': 1},1,1,"{'(ค่อนข้าง - ADV)': 1, '(ไว้ - ADV)': 1, '(หลาย - ADV)': 1}",3,3
"[['(แออัด - VERB)', '(ไป - VERB)', '(ด้วย - ADP)', '(กิจกรรม - NOUN)', '(มากมาย - ADJ)', '(คน - NOUN)', '(ใน - ADP)', '(ท้องถิ่น - NOUN)', '(ที่ - SCONJ)', '(ทำ - VERB)', '(กิจกรรม - NOUN)', '(ชาย - NOUN)', '(หาด - NOUN)', '(นั้น - DET)', '(หยาบคาย - NOUN)', '(และ - CCONJ)', '(หยิ่ง - NOUN)', '(ผยอง - NOUN)']]","{'(กิจกรรม - NOUN)': 2, '(คน - NOUN)': 1, '(ท้องถิ่น - NOUN)': 1, '(ชาย - NOUN)': 1, '(หาด - NOUN)': 1, '(หยาบคาย - NOUN)': 1, '(หยิ่ง - NOUN)': 1, '(ผยอง - NOUN)': 1}",8,9,"{'(แออัด - VERB)': 1, '(ไป - VERB)': 1, '(ทำ - VERB)': 1}",3,3,{'(มากมาย - ADJ)': 1},1,1,{},0,0
"[['(ชาย - NOUN)', '(หาด - NOUN)', '(ที่ - SCONJ)', '(สวยงาม - NOUN)', '(พร้อม - VERB)', '(น้ำ - NOUN)', '(ทะเล - NOUN)', '(ใส - NOUN)', '(มี - VERB)', '(กิจกรรม - NOUN)', '(กีฬา - NOUN)', '(ทาง - NOUN)', '(น้ำ - NOUN)', '(มากมาย - ADJ)', '(มัน - PRON)', '(คุ้ม - NOUN)', '(ค่า - NOUN)', '(ที่ - SCONJ)', '(จะ - AUX)', '(ไป - VERB)', '(ที่ - SCONJ)', '(นั่น - PRON)']]","{'(ชาย - NOUN)': 1, '(หาด - NOUN)': 1, '(สวยงาม - NOUN)': 1, '(น้ำ - NOUN)': 2, '(ทะเล - NOUN)': 1, '(ใส - NOUN)': 1, '(กิจกรรม - NOUN)': 1, '(กีฬา - NOUN)': 1, '(ทาง - NOUN)': 1, '(คุ้ม - NOUN)': 1, '(ค่า - NOUN)': 1}",11,12,"{'(พร้อม - VERB)': 1, '(มี - VERB)': 1, '(ไป - VERB)': 1}",3,3,{'(มากมาย - ADJ)': 1},1,1,{},0,0
"[['(ชาย - NOUN)', '(หาด - NOUN)', '(ที่ - SCONJ)', '(สะอาด - VERB)', '(ใช้ - VERB)', '(เวลา - NOUN)', '(ช่วง - NOUN)', '(บ่าย - NOUN)', '(ที่ - SCONJ)', '(น่า - PART)', '(อัศจรรย์ - NOUN)']]","{'(ชาย - NOUN)': 1, '(หาด - NOUN)': 1, '(เวลา - NOUN)': 1, '(ช่วง - NOUN)': 1, '(บ่าย - NOUN)': 1, '(อัศจรรย์ - NOUN)': 1}",6,6,"{'(สะอาด - VERB)': 1, '(ใช้ - VERB)': 1}",2,2,{},0,0,{},0,0
